season,year,sst_c,anom_c,threshold,cumulative,ntotal,oni
DJF,1950,25.01,-1.32,below,1,13,la_nina
JFM,1950,25.36,-1.2,below,2,13,la_nina
FMA,1950,25.88,-1.12,below,3,13,la_nina
MAM,1950,26.24,-1.08,below,4,13,la_nina
AMJ,1950,26.35,-1.1,below,5,13,la_nina
MJJ,1950,26.32,-0.9,below,6,13,la_nina
JJA,1950,26.24,-0.62,below,7,13,la_nina
JAS,1950,25.94,-0.57,below,8,13,la_nina
ASO,1950,25.76,-0.56,below,9,13,la_nina
SON,1950,25.6,-0.62,below,10,13,la_nina
OND,1950,25.55,-0.66,below,11,13,la_nina
NDJ,1950,25.41,-0.79,below,12,13,la_nina
DJF,1951,25.67,-0.66,below,13,13,la_nina
JFM,1951,26.2,-0.36,between,1,4,neutral
FMA,1951,26.96,-0.04,between,2,4,neutral
MAM,1951,27.48,0.16,between,3,4,neutral
AMJ,1951,27.72,0.27,between,4,4,neutral
MJJ,1951,27.72,0.5,above,1,8,el_nino
JJA,1951,27.57,0.71,above,2,8,el_nino
JAS,1951,27.41,0.9,above,3,8,el_nino
ASO,1951,27.34,1.02,above,4,8,el_nino
SON,1951,27.25,1.03,above,5,8,el_nino
OND,1951,27.18,0.96,above,6,8,el_nino
NDJ,1951,26.91,0.71,above,7,8,el_nino
DJF,1952,26.86,0.52,above,8,8,el_nino
JFM,1952,26.82,0.27,between,1,12,neutral
FMA,1952,27.33,0.33,between,2,12,neutral
MAM,1952,27.5,0.18,between,3,12,neutral
AMJ,1952,27.38,-0.07,between,4,12,neutral
MJJ,1952,26.78,-0.44,between,5,12,neutral
JJA,1952,26.41,-0.45,between,6,12,neutral
JAS,1952,26.31,-0.2,between,7,12,neutral
ASO,1952,26.35,0.03,between,8,12,neutral
SON,1952,26.26,0.04,between,9,12,neutral
OND,1952,26.11,-0.11,between,10,12,neutral
NDJ,1952,26.25,0.06,between,11,12,neutral
DJF,1953,26.58,0.25,between,12,12,neutral
JFM,1953,27.06,0.5,above,1,1,neutral
FMA,1953,27.48,0.48,between,1,1,neutral
MAM,1953,27.88,0.56,above,1,9,el_nino
AMJ,1953,28.22,0.77,above,2,9,el_nino
MJJ,1953,27.96,0.74,above,3,9,el_nino
JJA,1953,27.49,0.63,above,4,9,el_nino
JAS,1953,27.19,0.68,above,5,9,el_nino
ASO,1953,26.91,0.59,above,6,9,el_nino
SON,1953,27.0,0.78,above,7,9,el_nino
OND,1953,26.74,0.52,above,8,9,el_nino
NDJ,1953,26.76,0.56,above,9,9,el_nino
DJF,1954,26.74,0.41,between,1,6,neutral
JFM,1954,26.91,0.35,between,2,6,neutral
FMA,1954,27.01,0.01,between,3,6,neutral
MAM,1954,27.04,-0.27,between,4,6,neutral
AMJ,1954,26.97,-0.48,between,5,6,neutral
MJJ,1954,26.74,-0.48,between,6,6,neutral
JJA,1954,26.18,-0.67,below,1,4,neutral
JAS,1954,25.68,-0.83,below,2,4,neutral
ASO,1954,25.58,-0.73,below,3,4,neutral
SON,1954,25.7,-0.52,below,4,4,neutral
OND,1954,25.82,-0.4,between,1,2,neutral
NDJ,1954,25.76,-0.44,between,2,2,neutral
DJF,1955,25.83,-0.5,below,1,1,neutral
JFM,1955,26.08,-0.48,between,1,1,neutral
FMA,1955,26.42,-0.58,below,1,14,la_nina
MAM,1955,26.56,-0.76,below,2,14,la_nina
AMJ,1955,26.67,-0.78,below,3,14,la_nina
MJJ,1955,26.34,-0.88,below,4,14,la_nina
JJA,1955,26.13,-0.72,below,5,14,la_nina
JAS,1955,25.59,-0.92,below,6,14,la_nina
ASO,1955,25.21,-1.11,below,7,14,la_nina
SON,1955,24.78,-1.44,below,8,14,la_nina
OND,1955,24.63,-1.59,below,9,14,la_nina
NDJ,1955,24.73,-1.51,below,10,14,la_nina
DJF,1956,25.2,-1.17,below,11,14,la_nina
JFM,1956,25.82,-0.81,below,12,14,la_nina
FMA,1956,26.47,-0.57,below,13,14,la_nina
MAM,1956,26.84,-0.51,below,14,14,la_nina
AMJ,1956,27.0,-0.49,between,1,2,neutral
MJJ,1956,26.81,-0.47,between,2,2,neutral
JJA,1956,26.37,-0.55,below,1,2,neutral
JAS,1956,26.02,-0.52,below,2,2,neutral
ASO,1956,25.9,-0.43,between,1,7,neutral
SON,1956,25.85,-0.39,between,2,7,neutral
OND,1956,25.87,-0.37,between,3,7,neutral
NDJ,1956,25.87,-0.39,between,4,7,neutral
DJF,1957,26.11,-0.27,between,5,7,neutral
JFM,1957,26.57,-0.06,between,6,7,neutral
FMA,1957,27.3,0.26,between,7,7,neutral
MAM,1957,27.99,0.63,above,1,14,el_nino
AMJ,1957,28.21,0.72,above,2,14,el_nino
