year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1950,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,neutral,neutral,neutral,neutral,neutral
1951,neutral,neutral,neutral,neutral,neutral,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino
1952,el_nino,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1953,neutral,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino
1954,el_nino,neutral,neutral,neutral,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina
1955,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina
1956,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,neutral,neutral,neutral,neutral
1957,neutral,neutral,neutral,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino
1958,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,neutral,neutral,neutral,el_nino,el_nino
1959,el_nino,el_nino,el_nino,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1960,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1961,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1962,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1963,neutral,neutral,neutral,neutral,neutral,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino
1964,el_nino,el_nino,neutral,neutral,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina
1965,la_nina,neutral,neutral,neutral,neutral,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino
1966,el_nino,el_nino,el_nino,el_nino,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1967,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1968,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,el_nino,el_nino,el_nino
1969,el_nino,el_nino,el_nino,el_nino,el_nino,neutral,neutral,el_nino,el_nino,el_nino,el_nino,el_nino
1970,el_nino,neutral,neutral,neutral,neutral,neutral,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina
1971,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina
1972,la_nina,neutral,neutral,neutral,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino,el_nino
1973,el_nino,el_nino,el_nino,neutral,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina
1974,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,neutral,neutral,la_nina,la_nina,la_nina
1975,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina,la_nina
1976,la_nina,la_nina,la_nina,neutral,neutral,neutral,neutral,neutral,el_nino,el_nino,el_nino,el_nino
1977,el_nino,el_nino,neutral,neutral,neutral,neutral,neutral,neutral,el_nino,el_nino,el_nino,el_nino
1978,el_nino,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
